ID,Frame index,Groups,Donor Photons,Acceptor Photons,FRET efficiency,X (nm),Y (nm)
16,17,1,61.1389,353.923,0.852699,26559.2,68251.5
16,18,1,0,0,0,0,0
16,19,1,93.5925,365.353,0.796071,26593,68255
16,20,1,69.906,322.338,0.821779,26505,68259
16,21,1,11.5518,365.095,0.96933,26576.4,68257.9
16,22,1,0,0,0,0,0
16,23,1,85.718,423.14,0.831548,26564.4,68228.4
16,24,1,28.2312,381.213,0.93105,26588.1,68253.5
16,25,1,103.475,432.232,0.806844,26593.2,68238.7
16,26,1,84.591,343.669,0.802478,26584.3,68230.4
16,27,1,101.578,385.768,0.791569,26561.4,68226.6
16,28,1,90.5512,369.246,0.803063,26568.5,68253
16,29,1,28.5682,317.81,0.917523,26523.3,68240.3
16,30,1,11.7891,361.235,0.968396,26573.4,68220
16,31,1,0,354.583,1,26557.8,68304.4
16,32,1,61.9637,271.728,0.814309,26543.8,68262.4
16,33,1,11.448,404.23,0.972459,26529.6,68255.6
16,34,1,2.13723,375.684,0.994343,26571.7,68238.3
16,35,1,7.72123,453.181,0.983248,26560.3,68221.2
16,36,1,22.2963,345.416,0.939365,26542.1,68257.3
16,37,1,88.9363,466.499,0.83988,26577,68242
16,38,1,0,0,0,0,0
16,39,1,0,0,0,0,0
16,40,1,0,0,0,0,0
16,41,1,0,0,0,0,0
16,42,1,0,0,0,0,0
16,43,1,0,0,0,0,0
16,44,1,0,0,0,0,0
16,45,1,60.6827,646.57,0.914199,26567.5,68250.1
16,46,1,23.139,511.289,0.956703,26577,68252.5
16,47,1,35.4959,561.228,0.940515,26570.6,68237.5
16,48,1,0,0,0,0,0
16,49,1,0,0,0,0,0
16,50,1,27.8482,547.01,0.951556,26545.8,68245.4
16,51,1,62.2047,592.792,0.905031,26569.7,68268.5
16,52,1,47.7394,548.177,0.919889,26558.7,68237.6
16,53,1,77.7944,479.712,0.86046,26560.7,68263.8
16,54,1,0,526.74,1,26558.8,68210.3
16,55,1,104.016,497.427,0.827056,26538.2,68256
16,56,1,64.184,397.23,0.860897,26577,68236.9
16,57,1,0,407.946,1,26574.5,68260
16,58,1,25.9861,513.734,0.951853,26546.9,68249.7
16,59,1,107.356,494.016,0.821482,26576.7,68239.5
16,60,1,89.0311,478.226,0.84305,26566.5,68253.8
16,61,1,14.7987,394.955,0.963884,26598.2,68259.4
16,62,1,105.114,616.569,0.854349,26562.4,68253.3
16,63,1,117.265,513.715,0.814155,26576.4,68245.6
16,64,1,97.304,541.26,0.847621,26563.9,68246.5
16,65,1,91.3047,453.543,0.832422,26538.8,68253.9
16,66,1,8.20236,515.934,0.984351,26569.7,68209
16,67,1,61.2961,529.247,0.896204,26558.5,68232.1
16,68,1,78.407,474.614,0.85822,26547.6,68236.1
16,69,1,42.2907,429.292,0.910322,26546.6,68262.1
16,70,1,64.6746,469.202,0.878859,26559.7,68259.1
16,71,1,49.5942,440.96,0.898902,26538,68272.7
16,72,1,0,485.526,1,26534.4,68258.5
16,73,1,0,391.579,1,26571.5,68249
16,74,1,37.5828,453.926,0.923536,26571.2,68254.6
16,75,1,17.1149,479.642,0.965547,26571.3,68230
16,76,1,83.4122,413.2,0.832038,26587.5,68237.4
16,77,1,37.3661,417.379,0.917831,26559,68263.9
16,78,1,51.0637,534.706,0.912826,26537.4,68242.7
16,79,1,80.9297,503.792,0.861593,26544.2,68246
16,80,1,41.6853,465.382,0.917791,26561.3,68239
16,81,1,65.1562,465.625,0.877245,26550,68235.2
16,82,1,0,0,0,0,0
16,83,1,0,0,0,0,0
16,84,1,52.7006,385.298,0.879679,26570.7,68232.5
16,85,1,40.9516,484.354,0.922042,26560.1,68256.9
16,86,1,105.211,520.741,0.831919,26553.1,68249.9
16,87,1,102.163,572.802,0.84864,26543.1,68267.2
16,88,1,63.4797,550.92,0.89668,26570.5,68244.7
16,89,1,147.497,432.506,0.745697,26545,68206.6
16,90,1,109.957,487.604,0.815991,26560.8,68244.3
16,91,1,0,306.988,1,26575.1,68225
16,92,1,0,0,0,0,0
16,93,1,0,361.249,1,26588.3,68254.3
16,94,1,262.32,707.089,0.729402,26678.1,68374.4
16,95,1,0,0,0,0,0
16,96,1,0,0,0,0,0
16,97,1,0,0,0,0,0
16,98,1,0,0,0,0,0
16,99,1,313.688,593.931,0.654383,26683.1,68365
16,100,1,0,0,0,0,0
16,101,1,0,0,0,0,0
16,102,1,0,0,0,0,0
16,103,1,126.108,660.494,0.83968,26567.6,68248.8
16,104,1,0,0,0,0,0
16,105,1,0,0,0,0,0
16,106,1,0,0,0,0,0
16,107,1,311.589,637.288,0.671624,26685.1,68371.5
16,108,1,0,0,0,0,0
16,109,1,0,0,0,0,0
16,110,1,0,0,0,0,0
16,111,1,0,0,0,0,0
16,112,1,370.695,741.038,0.666561,26695.1,68364.2
16,113,1,298.402,628.509,0.678068,26688.1,68343.6
16,114,1,385.15,611.07,0.613389,26700.9,68358.2
16,115,1,0,0,0,0,0
16,116,1,166.757,593.121,0.780548,26559.4,68252.4
16,117,1,0,0,0,0,0
16,118,1,0,0,0,0,0
16,119,1,248.304,677.825,0.73189,26570.2,68252
16,120,1,0,0,0,0,0
16,121,1,331.536,712.063,0.682315,26671.3,68377.1
16,122,1,0,0,0,0,0
16,123,1,250.334,494.418,0.663869,26596.6,68340.5
16,124,1,174.308,553.527,0.760512,26557.8,68232.9
16,125,1,110.165,404.143,0.785799,26445.3,68166.3
16,126,1,171.168,477.019,0.735928,26583.2,68285.5
16,127,1,122.143,616.366,0.834609,26593.3,68258.6
16,128,1,0,0,0,0,0
16,129,1,153.276,439.067,0.741238,26553.7,68210.2
16,130,1,286.182,449.011,0.610739,26684,68392.5
16,131,1,351.589,677.779,0.658442,26689.7,68350.5
16,132,1,360.681,661.049,0.64699,26700.1,68359.2
16,133,1,285.571,608.852,0.680721,26689.1,68389.6
16,134,1,0,0,0,0,0
16,135,1,302.383,675.843,0.690887,26697.7,68396.6
16,136,1,317.811,634.998,0.666448,26680.9,68346.9
16,137,1,0,0,0,0,0
16,138,1,138.637,658.041,0.825981,26590.6,68248.5
16,139,1,281.672,667.399,0.703213,26671.7,68357.1
16,140,1,381.926,724.039,0.654667,26710.1,68363.9
16,141,1,339.158,654.367,0.658631,26684.5,68382.6
16,142,1,374.035,604.937,0.617931,26730.7,68342.3
16,143,1,362.409,623.895,0.632559,26694.9,68362.2
16,144,1,0,0,0,0,0
16,145,1,0,0,0,0,0
16,146,1,0,0,0,0,0
16,147,1,0,0,0,0,0
16,148,1,0,0,0,0,0
16,149,1,0,0,0,0,0
16,150,1,329.49,660.951,0.66733,26703.5,68382.9
16,151,1,0,0,0,0,0
16,152,1,257.16,545.539,0.679631,26690.7,68382.6
16,153,1,0,0,0,0,0
16,154,1,290.056,532.742,0.647476,26694.1,68352.4
16,155,1,0,0,0,0,0
16,156,1,359.09,673.884,0.652373,26681.3,68355.8
16,157,1,0,0,0,0,0
16,158,1,389.783,578.771,0.597562,26706.4,68374.7
16,159,1,0,0,0,0,0
16,160,1,312.633,694.124,0.689465,26701.6,68380.9
16,161,1,329.307,688.506,0.676456,26700,68357.6
16,162,1,0,0,0,0,0
16,163,1,362.579,662.79,0.646392,26677.9,68387.3
16,164,1,282.43,661.72,0.700864,26708.8,68376.8
16,165,1,356.769,676.486,0.654713,26695.9,68377.4
16,166,1,283.44,632.01,0.690382,26691.9,68364
16,167,1,0,0,0,0,0
16,168,1,321.847,739.604,0.696785,26705.3,68364
16,169,1,0,0,0,0,0
16,170,1,0,0,0,0,0
16,171,1,276.926,593.55,0.681868,26710,68364.7
16,172,1,319.61,654.458,0.671881,26700.3,68343.9
16,173,1,0,0,0,0,0
16,174,1,402.125,675.443,0.626821,26701.6,68349.6
16,175,1,324.286,581.103,0.641826,26659.7,68373.7
16,176,1,387.377,670.649,0.633868,26657.9,68386.1
16,177,1,354.337,630.268,0.640123,26700.5,68357.8
16,178,1,303.647,594.21,0.661809,26703.6,68372.1
16,179,1,0,0,0,0,0
16,180,1,266.25,517.392,0.66024,26730.5,68352.2
16,181,1,0,0,0,0,0
16,182,1,0,0,0,0,0
16,183,1,310.363,629.28,0.669701,26699,68343.2
16,184,1,195.549,571.855,0.745181,26574.2,68241.3
16,185,1,0,0,0,0,0
16,186,1,314.969,782.367,0.712969,26689.6,68354.6
16,187,1,311.942,661.844,0.679661,26707.9,68359.4
16,188,1,0,0,0,0,0
16,189,1,363.396,641.238,0.63828,26721.9,68354.2
16,190,1,272.73,652.101,0.705103,26715.4,68355.7
16,191,1,302.241,698.593,0.698011,26708.4,68364.4
62,0,,723.189,11.62,0.0158137,22795.6,14214.3
62,1,,682.147,67.4993,0.0900415,22809.7,14202.6
62,2,,0,0,0,0,0
62,3,,0,0,0,0,0
62,4,,0,0,0,0,0
62,5,,0,0,0,0,0
62,6,,0,0,0,0,0
62,7,,0,0,0,0,0
62,8,,0,0,0,0,0
62,9,,0,0,0,0,0
62,10,,0,0,0,0,0
62,11,,0,0,0,0,0
62,12,,957.72,69.0177,0.0672204,22785.1,14206.7
62,13,,457.749,60.5203,0.116774,22783.9,14195.3
62,14,,539.832,10.6326,0.0193157,22800.9,14207.3
62,15,,310.654,99.9601,0.243441,22796.1,14169.2
62,16,,518.161,106.829,0.170929,22802.2,14174.4
62,17,,474.064,52.9494,0.100471,22805,14216.5
62,18,,408.25,114.713,0.219351,22792.7,14185.1
62,19,,528.442,52.1008,0.0897451,22776.9,14208.3
62,20,,442.655,0,0,22802.9,14181
62,21,,461.379,88.8832,0.161529,22778.2,14222.1
62,22,,460.494,23.4262,0.0484092,22802.4,14208.6
62,23,,339.622,36.0832,0.0960412,22802.8,14233.4
62,24,,264.627,53.9281,0.169289,22793.3,14199.4
62,25,,281.507,47.5784,0.144578,22775.4,14218.5
62,26,,351.032,11.3284,0.0312628,22795.6,14224.5
62,27,,378.29,70.8116,0.157674,22788,14200.6
62,28,,352.555,98.5758,0.218508,22806.4,14156.3
62,29,,671.929,134.246,0.166522,22789.5,14213.2
62,30,,512.287,0,0,22785.3,14196.1
62,31,,316.902,30.347,0.0873924,22772,14239.5
62,32,,355.614,103.139,0.224824,22795.6,14219
62,33,,442.219,54.8974,0.110432,22767.8,14207.5
62,34,,346.262,103.136,0.229497,22786.9,14246.5
62,35,,355.826,94.4342,0.209733,22798,14187.3
62,36,,610.049,0,0,22793.6,14211.6
62,37,,361.584,43.1976,0.106718,22800.7,14232.1
62,38,,264.44,46.7029,0.150101,22854.7,14220
62,39,,503.812,55.2011,0.0987476,22758,14210.2
62,40,,384.23,130.65,0.253749,22792.4,14224.9
62,41,,286.996,21.8044,0.0706101,22791.1,14181.5
